0;1;2;3;4;5;6
"Achtergracht 41
1017 WN  AMSTERDAM";Woonfunctie;53m²;52.3616253;4.9021125;house;
"Achtergracht 39
1017 WN  AMSTERDAM";Woonfunctie;60m²;52.3616161;4.9020686;house;
"Achtergracht 35
1017 WN  AMSTERDAM";Woonfunctie;210m²;52.3615978;4.9019807;house;
"Achtergracht 45-1
1017 WN  AMSTERDAM";Woonfunctie;27m²;52.3616504;4.9022626;house;
"Achtergracht 47-1
1017 WN  AMSTERDAM";Woonfunctie;47m²;52.3616741;4.9023726;house;
"Achtergracht 47-2
1017 WN  AMSTERDAM";Woonfunctie;44m²;52.3616955;4.9023597;house;
"Achtergracht 47-3
1017 WN  AMSTERDAM";Woonfunctie;49m²;52.3616878;4.9023646;house;
"Amstel 314
1017 AP  AMSTERDAM";Woonfunctie;90m²;52.3616894;4.9024055;house;
"Amstel 312-1
1017 AP  AMSTERDAM";Woonfunctie;60m²;52.3617521;4.9023607;house;
"Amstel 312-2
1017 AP  AMSTERDAM";Woonfunctie;58m²;52.3617521;4.9023605;house;
"Amstel 312-3
1017 AP  AMSTERDAM";Woonfunctie;54m²;52.361752;4.9023603;house;
"Amstel 312 H
1017 AP  AMSTERDAM";Woonfunctie;41m²;52.361752;4.9023601;house;
"Amstel 312 O
1017 AP  AMSTERDAM";Winkelfunctie;135m²;52.3617519;4.9023599;house;
"Amstel 312 A1
1017 AP  AMSTERDAM";Woonfunctie;58m²;52.3617252;4.9023757;house;
"Amstel 312 A2
1017 AP  AMSTERDAM";Woonfunctie;45m²;52.3617252;4.9023755;house;
"Amstel 312 A3
1017 AP  AMSTERDAM";Woonfunctie;61m²;52.3617253;4.9023753;house;
"Amstel 312 AH
1017 AP  AMSTERDAM";Overige gebruiksfunctie;55m²;;;;
"Amstel 312 AO
1017 AP  AMSTERDAM";Overige gebruiksfunctie;43m²;;;;
"Amstel 312 AO
1017 AP  AMSTERDAM";Overige gebruiksfunctie;43m²;;;;
"Amstel 310 A
1017 AP  AMSTERDAM";Woonfunctie;77m²;52.361806;4.9023601;house;
"Amstel 310 B
1017 AP  AMSTERDAM";Woonfunctie;139m²;52.361815;4.90236;house;
"Amstel 308-1
1017 AN  AMSTERDAM";Woonfunctie;73m²;52.3618434;4.9023171;house;
"Amstel 308-2
1017 AN  AMSTERDAM";Woonfunctie;73m²;52.361841;4.9022891;house;
"Amstel 308-3
1017 AN  AMSTERDAM";Woonfunctie;129m²;52.3618351;4.9022599;house;
"Amstel 308 H
1017 AN  AMSTERDAM";Woonfunctie;78m²;52.3618503;4.9023393;house;
"Utrechtsedwarsstraat 156
1017 WK  AMSTERDAM";Woonfunctie;49m²;52.361957;4.9019034;house;
"Utrechtsedwarsstraat 158
1017 WK  AMSTERDAM";Woonfunctie;49m²;52.361939;4.9019036;house;
"Utrechtsedwarsstraat 160
1017 WK  AMSTERDAM";Woonfunctie;103m²;52.3619572;4.9019621;house;
"Utrechtsedwarsstraat 162
1017 WK  AMSTERDAM";Woonfunctie;98m²;52.3619663;4.9019914;house;
"Utrechtsedwarsstraat 164
1017 WK  AMSTERDAM";Woonfunctie;68m²;52.3619394;4.9019917;house;
"Utrechtsedwarsstraat 166
1017 WK  AMSTERDAM";Woonfunctie;68m²;52.3619393;4.9019919;house;
"Amstel 306-1
1017 AN  AMSTERDAM";Woonfunctie;63m²;52.3619007;4.902304;house;
"Amstel 306-2
1017 AN  AMSTERDAM";Woonfunctie;126m²;52.3618958;4.902277;house;
"Amstel 306 H
1017 AN  AMSTERDAM";Woonfunctie;130m²;52.3618926;4.9022567;house;
"Amstel 306 H
1017 AN  AMSTERDAM";Woonfunctie;130m²;52.3618926;4.9022567;house;
"Amstel 300
1017 AN  AMSTERDAM";Woonfunctie;116m²;52.3619495;4.9022852;house;
"Utrechtsedwarsstraat 168
1017 WK  AMSTERDAM";Woonfunctie;120m²;52.3619938;4.9021085;house;
"Utrechtsedwarsstraat 170
1017 WK  AMSTERDAM";Woonfunctie;59m²;52.3620029;4.9021378;house;
"Utrechtsedwarsstraat 172
1017 WK  AMSTERDAM";Woonfunctie;118m²;52.362003;4.9021818;house;
"Utrechtsedwarsstraat 174
1017 WK  AMSTERDAM";Woonfunctie;118m²;52.3620122;4.9022111;house;
"Amstel 288 A
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3624069;4.9020306;house;
"Amstel 288 B
1017 AN  AMSTERDAM";Woonfunctie;55m²;52.3624067;4.9020305;house;
"Amstel 288 C
1017 AN  AMSTERDAM";Woonfunctie;61m²;52.3624065;4.9020304;house;
"Amstel 288 D
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3624064;4.9020303;house;
"Amstel 288 E
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3624062;4.9020302;house;
"Amstel 288 F
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.362406;4.9020302;house;
"Amstel 288 G
1017 AN  AMSTERDAM";Woonfunctie;51m²;52.3624058;4.9020301;house;
"Amstel 288 H
1017 AN  AMSTERDAM";Woonfunctie;53m²;52.3624056;4.90203;house;
"Amstel 288 K
1017 AN  AMSTERDAM";Woonfunctie;83m²;52.3624055;4.9020299;house;
"Amstel 288 L
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3624053;4.9020298;house;
"Amstel 288 M
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3624051;4.9020297;house;
"Amstel 288 N
1017 AN  AMSTERDAM";Woonfunctie;55m²;52.3624049;4.9020296;house;
"Amstel 288 P
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3624047;4.9020295;house;
"Amstel 288 R
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3624046;4.9020295;house;
"Amstel 288 S
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3624044;4.9020294;house;
"Amstel 288 T
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3624042;4.9020293;house;
"Amstel 290 A
1017 AN  AMSTERDAM";Woonfunctie;59m²;52.362371;4.9020603;house;
"Amstel 290 B
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623709;4.9020602;house;
"Amstel 290 C
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623707;4.90206;house;
"Amstel 290 D
1017 AN  AMSTERDAM";Woonfunctie;61m²;52.3623706;4.9020599;house;
"Amstel 290 E
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3623704;4.9020598;house;
"Amstel 290 F
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3623703;4.9020596;house;
"Amstel 290 G
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3623701;4.9020595;house;
"Amstel 290 H
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.36237;4.9020594;house;
"Amstel 290 K
1017 AN  AMSTERDAM";Woonfunctie;53m²;52.3623698;4.9020592;house;
"Amstel 290 L
1017 AN  AMSTERDAM";Woonfunctie;61m²;52.3622096;4.9021502;house;
"Amstel 290 M
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623697;4.9020591;house;
"Amstel 290 N
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623695;4.902059;house;
"Amstel 290 P
1017 AN  AMSTERDAM";Woonfunctie;55m²;52.3623694;4.9020588;house;
"Amstel 290 R
1017 AN  AMSTERDAM";Woonfunctie;41m²;52.3623692;4.9020587;house;
"Amstel 290 S
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623691;4.9020586;house;
"Amstel 290 T
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623689;4.9020584;house;
"Amstel 290 U
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623688;4.9020583;house;
"Amstel 290 V
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623686;4.9020582;house;
"Amstel 292 A
1017 AN  AMSTERDAM";Woonfunctie;60m²;52.3623082;4.9020757;house;
"Amstel 292 B
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623081;4.9020755;house;
"Amstel 292 C
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.362308;4.9020753;house;
"Amstel 292 D
1017 AN  AMSTERDAM";Woonfunctie;62m²;52.362308;4.9020752;house;
"Amstel 292 E
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3623079;4.902075;house;
"Amstel 292 F
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3623078;4.9020748;house;
"Amstel 292 G
1017 AN  AMSTERDAM";Woonfunctie;49m²;52.3623077;4.9020746;house;
"Amstel 292 H
1017 AN  AMSTERDAM";Woonfunctie;49m²;52.3623076;4.9020744;house;
"Amstel 292 K
1017 AN  AMSTERDAM";Woonfunctie;53m²;52.3623076;4.9020742;house;
"Amstel 292 L
1017 AN  AMSTERDAM";Woonfunctie;62m²;52.3623075;4.9020741;house;
"Amstel 292 M
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623074;4.9020739;house;
"Amstel 292 N
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3623073;4.9020737;house;
"Amstel 292 P
1017 AN  AMSTERDAM";Woonfunctie;56m²;52.3623072;4.9020735;house;
"Amstel 292 R
1017 AN  AMSTERDAM";Woonfunctie;43m²;52.3623072;4.9020733;house;
"Amstel 292 S
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623071;4.9020731;house;
"Amstel 292 T
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.362307;4.902073;house;
"Amstel 292 U
1017 AN  AMSTERDAM";Woonfunctie;40m²;52.3623069;4.9020728;house;
"Amstel 292 V
1017 AN  AMSTERDAM";Woonfunctie;42m²;52.3623172;4.9020756;house;
"Amstel 294 A
1017 AN  AMSTERDAM";Woonfunctie;60m²;52.3622634;4.9021203;house;
"Amstel 294 B
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3622634;4.9021201;house;
"Amstel 294 C
1017 AN  AMSTERDAM";Woonfunctie;28m²;52.3622634;4.9021199;house;
"Amstel 294 D
1017 AN  AMSTERDAM";Woonfunctie;62m²;52.3622634;4.9021197;house;
"Amstel 294 E
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3622634;4.9021195;house;
"Amstel 294 F
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3622634;4.9021193;house;
"Amstel 294 G
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3622633;4.9021191;house;
"Amstel 294 H
1017 AN  AMSTERDAM";Woonfunctie;52m²;52.3622633;4.9021189;house;
"Amstel 294 K
1017 AN  AMSTERDAM";Woonfunctie;53m²;52.3622633;4.9021187;house;
"Amstel 294 L
1017 AN  AMSTERDAM";Woonfunctie;62m²;52.3622633;4.9021185;house;
"Amstel 294 M
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3622633;4.9021183;house;
"Amstel 294 N
1017 AN  AMSTERDAM";Woonfunctie;30m²;52.3622633;4.9021181;house;
