date,lesson_time,code,location,size
"Wednesday, 13 November 2024",17:00 - 19:00,6012B0453Y,REC M0.02,40
"Thursday, 14 November 2024",09:00 - 11:00,6012B0801Y,REC JK1.23,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0206Y,REC JKK.60a,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0209Y,REC JKT1.03,35
"Thursday, 14 November 2024",09:00 - 11:00,6012B0423Y,REC A0.01,500
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC JKTB.20,20
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC D1.00,15
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC V0.12,15
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC JKK.79,20
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC JKTB.14,20
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC JKB.18,20
"Thursday, 14 November 2024",09:00 - 11:00,6011P0212Y,REC L0.09,20
"Thursday, 14 November 2024",09:00 - 11:00,6011P0230Y,REC V0.14,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0230Y,REC V1.03,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0230Y,REC JKB.52,40
"Thursday, 14 November 2024",09:00 - 11:00,6011P0233Y,REC JK1.83,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0233Y,REC JK1.83,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0233Y,REC JKTB.16,35
"Thursday, 14 November 2024",09:00 - 11:00,6011P0233Y,REC JKTB.18,35
"Thursday, 14 November 2024",09:00 - 11:00,6012B0452Y,REC JKB.03,40
"Thursday, 14 November 2024",09:00 - 11:00,6012B0452Y,REC JK1.05,40
"Thursday, 14 November 2024",09:00 - 11:00,6012B0452Y,REC E1.17,40
"Thursday, 14 November 2024",09:00 - 11:00,6012B0453Y,REC JKTB.22,40
"Thursday, 14 November 2024",09:00 - 11:00,6012B0453Y,REC GS.11,40
"Thursday, 14 November 2024",11:00 - 13:00,6011P0168Y,REC A2.10,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0168Y,REC JKB.22,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0168Y,REC A1.02,140
"Thursday, 14 November 2024",11:00 - 13:00,6012B0386Y,REC C0.02,160
"Thursday, 14 November 2024",11:00 - 13:00,6011P0283Y,REC M1.01,120
"Thursday, 14 November 2024",11:00 - 13:00,6012B0801Y,REC JK1.23,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0206Y,REC JKK.60a,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0209Y,REC JKT1.03,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0209Y,REC JKB.03,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0212Y,REC V1.09,15
"Thursday, 14 November 2024",11:00 - 13:00,6011P0212Y,REC MS.01,15
"Thursday, 14 November 2024",11:00 - 13:00,6011P0212Y,REC JKTB.14,20
"Thursday, 14 November 2024",11:00 - 13:00,6011P0212Y,REC JKB.18,20
"Thursday, 14 November 2024",11:00 - 13:00,6011P0230Y,REC V0.14,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0230Y,REC V1.03,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0230Y,REC JKB.52,40
"Thursday, 14 November 2024",11:00 - 13:00,6011P0233Y,REC JKB.52,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0233Y,REC JK1.83,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0233Y,REC JKTB.16,35
"Thursday, 14 November 2024",11:00 - 13:00,6011P0233Y,REC JKTB.18,35
"Thursday, 14 November 2024",11:00 - 13:00,6012B0452Y,REC JK1.05,40
"Thursday, 14 November 2024",11:00 - 13:00,6012B0452Y,REC E1.17,40
"Thursday, 14 November 2024",11:00 - 13:00,6012B0453Y,REC JKTB.22,40
"Thursday, 14 November 2024",11:00 - 13:00,6012B0453Y,REC E0.09,40
"Thursday, 14 November 2024",13:00 - 15:00,6011P0168Y,REC A1.02,140
"Thursday, 14 November 2024",13:00 - 15:00,6012B0371Y,REC C1.03,200
"Thursday, 14 November 2024",13:00 - 15:00,6011P0283Y,REC M1.01,150
"Thursday, 14 November 2024",13:00 - 15:00,6011P0212Y,REC E0.22 (Active Learning Space),15
"Thursday, 14 November 2024",13:00 - 15:00,6011P0212Y,REC E0.08,15
"Thursday, 14 November 2024",13:00 - 15:00,6012B0801Y,REC JK1.90,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0206Y,REC JKK.60a,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0209Y,REC JKT1.03,35
"Thursday, 14 November 2024",13:00 - 15:00,6012B0422Y,REC A0.01,500
"Thursday, 14 November 2024",13:00 - 15:00,6011P0233Y,REC B1.02,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0212Y,REC JKK.79,15
"Thursday, 14 November 2024",13:00 - 15:00,6011P0212Y,REC L0.02,15
"Thursday, 14 November 2024",13:00 - 15:00,6011P0212Y,REC JKTB.14,20
"Thursday, 14 November 2024",13:00 - 15:00,6011P0230Y,REC V0.14,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0230Y,REC JKB.52,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0230Y,REC V1.03,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0233Y,REC V1.03,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0233Y,REC JKTB.16,35
"Thursday, 14 November 2024",13:00 - 15:00,6011P0233Y,REC JKTB.18,35
"Thursday, 14 November 2024",13:00 - 15:00,6012B0452Y,REC JK1.05,40
"Thursday, 14 November 2024",13:00 - 15:00,6012B0452Y,REC E1.17,40
"Thursday, 14 November 2024",13:00 - 15:00,6012B0453Y,REC E0.09,40
"Thursday, 14 November 2024",13:00 - 15:00,6012B0453Y,REC JKB.03,40
"Thursday, 14 November 2024",13:00 - 15:00,6012B0453Y,REC V2.03,40
"Thursday, 14 November 2024",15:00 - 16:00,6012B0650Y,REC V2.03,0
"Thursday, 14 November 2024",15:00 - 17:00,6011P0168Y,REC M1.01,150
"Thursday, 14 November 2024",15:00 - 17:00,6011P0168Y,REC MS.02,35
"Thursday, 14 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.79,15
"Thursday, 14 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.52,15
"Thursday, 14 November 2024",15:00 - 17:00,6011P0168Y,REC A2.10,35
"Thursday, 14 November 2024",15:00 - 17:00,6011P0206Y,REC JKK.60a,35
"Thursday, 14 November 2024",15:00 - 17:00,6011P0209Y,REC JKT1.03,35
"Thursday, 14 November 2024",15:00 - 17:00,6011P0212Y,REC JKTB.20,20
"Thursday, 14 November 2024",15:00 - 17:00,6011P0212Y,REC JKTB.14,15
"Thursday, 14 November 2024",15:00 - 17:00,6011P0212Y,REC E0.08,20
