objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
22831;Link 209263;209263;2030;Sarphatistraat;2239;120;96;49;LINESTRING(4.908386 52.361284,4.9095771 52.3615059);LINESTRING(52.361284 4.908386,52.3615059 4.9095771);4.90898155;52.36139495
22832;Link 209263;209263;2035;Sarphatistraat;2251;121;96;49;LINESTRING(4.908386 52.361284,4.9095771 52.3615059);LINESTRING(52.361284 4.908386,52.3615059 4.9095771);4.90898155;52.36139495
22833;Link 209263;209263;2040;Sarphatistraat;2289;123;98;50;LINESTRING(4.908386 52.361284,4.9095771 52.3615059);LINESTRING(52.361284 4.908386,52.3615059 4.9095771);4.90898155;52.36139495
22834;Link 209263;209263;2050;Sarphatistraat;2304;123;99;50;LINESTRING(4.908386 52.361284,4.9095771 52.3615059);LINESTRING(52.361284 4.908386,52.3615059 4.9095771);4.90898155;52.36139495
22835;Link 209264;209264;2019;Sarphatistraat;2022;108;87;44;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22836;Link 209264;209264;2025;Sarphatistraat;2185;117;93;48;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22837;Link 209264;209264;2030;Sarphatistraat;2239;120;96;49;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22838;Link 209264;209264;2035;Sarphatistraat;2251;121;96;49;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22839;Link 209264;209264;2040;Sarphatistraat;2289;123;98;50;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22840;Link 209264;209264;2050;Sarphatistraat;2304;123;99;50;LINESTRING(4.911325 52.3618815,4.9112308 52.361867,4.9111459 52.3618257,4.9095771 52.3615059);LINESTRING(52.3618815 4.911325,52.361867 4.9112308,52.3618257 4.9111459,52.3615059 4.9095771);4.91045105;52.3616937
22841;Link 209268;209268;2019;Sarphatistraat;2022;106;85;43;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
22842;Link 209268;209268;2025;Sarphatistraat;3078;163;130;67;LINESTRING(4.9124232 52.3620802,4.9115811 52.3619182,4.911325 52.3618815);LINESTRING(52.3620802 4.9124232,52.3619182 4.9115811,52.3618815 4.911325);4.9118741;52.36198085
